Name;Author;Url;PreparationTime;Portions
Risotto de Camarones;Gourmet;https://www.gourmet.cl/recetas/risotto-de-camarones/;60;4 
Chupe de Jaiba;Gourmet;https://www.gourmet.cl/recetas/chupe-de-jaiba/;40;4 
Salmón a la Mantequilla con Espárragos;Gourmet;https://www.gourmet.cl/recetas/salmon-la-mantequilla/;25;4 
Merluza a la Pimienta Limón;Gourmet;https://www.gourmet.cl/recetas/merluza-la-pimienta-limon/;50;5 
Pescado al Horno;Gourmet;https://www.gourmet.cl/recetas/pescado-al-horno/;25;4
Tacos al Pastor Mexicanos;Gourmet;https://www.gourmet.cl/recetas/tacos-al-pastor/;60;4
Hamburguesa de Atún;Gourmet;https://www.gourmet.cl/recetas/hamburguesa-de-atun/;20;4
Sandwich Capresse Saludable;Gourmet;https://www.gourmet.cl/recetas/sandwich-capresse-saludable/;10;2
Sandwich en Pan Pita con Pollo;Gourmet;https://www.gourmet.cl/recetas/sandwich-pollo-saludable-pan-pita/;30;3
Salmón a la Naranja con Salsa Oriental;Gourmet;https://www.gourmet.cl/recetas/salmon-salsa-oriental/;25;4
Pollo Relleno con Espinacas y Alcachofas;Gourmet;https://www.gourmet.cl/recetas/pollo-relleno-espinacas-alcachofas/;45;6 
Enchiladas;Gourmet;https://www.gourmet.cl/recetas/enchiladas/;30;6 
Tamales;Gourmet;https://www.gourmet.cl/recetas/tamales/;60;10
Sopa Toscana de Porotos;Gourmet;https://www.gourmet.cl/recetas/sopa-toscana-porotos/;30;4 
Tacos de Carne;Gourmet;https://www.gourmet.cl/recetas/tacos-de-carne/;75;6 
Carne a la Plancha con Espinacas a la Crema;Gourmet;https://www.gourmet.cl/recetas/carne-la-plancha-espinacas-la-crema/;45;4 
Chili con Carne;Gourmet;https://www.gourmet.cl/recetas/chili-con-carne/;40;4 
Pollo Teriyaki;Gourmet;https://www.gourmet.cl/recetas/pollo-teriyaki/;30;5 
Chilaquiles;Gourmet;https://www.gourmet.cl/recetas/chilaquiles/;45;4 
Pollo a la Pimienta Limón;Gourmet;https://www.gourmet.cl/recetas/pollo-pimienta-limon/;50;3 
Pulled Pork;Gourmet;https://www.gourmet.cl/recetas/pulled-pork/;560;6 
Salmón con Salsa Teriyaki y Arroz Pegajoso;Gourmet;https://www.gourmet.cl/recetas/salmon-salsa-teriyaki-arroz-pegajoso/;25;3 
Pollo Asado Ahumado con Papas;Gourmet;https://www.gourmet.cl/recetas/pollo-asado-ahumado-papas/;80;4 
Buddha Bowl de Garbanzos Crispy;Gourmet;https://www.gourmet.cl/recetas/buddha-bowl-garbanzos-crispy/;90;2 
Zapallo Spaghetti con Tomate Cherry y Albahaca;Gourmet;https://www.gourmet.cl/recetas/zapallo-spaghetti-tomate-cherry-albahaca/;60;2 
Shoyu Ramen;Gourmet;https://www.gourmet.cl/recetas/shoyu-ramen/;300;4 
Panqueques Salados Rellenos de Salmón y...;Gourmet;https://www.gourmet.cl/recetas/panqueques-rellenos-salmon-espinacas/;60;5
Papas Gratinadas;Gourmet;https://www.gourmet.cl/recetas/papas-gratinadas/;70;6 
Poke;Gourmet;https://www.gourmet.cl/recetas/poke/;30;4 
Polenta Rellena;Gourmet;https://www.gourmet.cl/recetas/polenta-rellena/;35;6
Crepes Rellenos con Pollo y Choclo;Gourmet;https://www.gourmet.cl/recetas/crepes-rellenos-pollo-choclo/;45;5 
Hamburguesa de Carne;Gourmet;https://www.gourmet.cl/recetas/hamburguesa-de-carne/;35;4
Arroz Chaufa;Gourmet;https://www.gourmet.cl/recetas/arroz-chaufa/;15;4
Albóndigas en Salsa de Tomate;Gourmet;https://www.gourmet.cl/recetas/albondigas-salsa-tomate/;70;4
Chacarero;Gourmet;https://www.gourmet.cl/recetas/chacarero/;15;1 
Tallarines de zapallo Italiano con Salsa...;Gourmet;https://www.gourmet.cl/recetas/tallarines-de-zapallo/;50;4 
Falafel;Gourmet;https://www.gourmet.cl/recetas/falafel/;20;6 
Salsa de Camarones;Gourmet;https://www.gourmet.cl/recetas/salsa-de-camarones/;30;4
Papas Rústicas Al Horno con Dip de Cilantro;Gourmet;https://www.gourmet.cl/recetas/papas-rusticas-al-horno-2/;;
Chapalele;Gourmet;https://www.gourmet.cl/recetas/chapalele/;50;16
Empanadas Vegetarianas;Gourmet;https://www.gourmet.cl/recetas/empanadas-vegetarianas/;40;10
Empanadas de queso;Gourmet;https://www.gourmet.cl/recetas/empanadas-de-queso/;55;24
Costillar a la parrilla;Gourmet;https://www.gourmet.cl/recetas/costillar-a-la-parrilla/;170;4 
Lomo vetado al horno;Gourmet;https://www.gourmet.cl/recetas/lomo-vetado-al-horno/;;
Crema de espinacas casera;Gourmet;https://www.gourmet.cl/recetas/crema-de-espinacas-casera/;25;6 
Carne asada al horno;Gourmet;https://www.gourmet.cl/recetas/carne-asada-al-horno/;60;
Lasaña de verduras;Gourmet;https://www.gourmet.cl/recetas/lasana-de-verduras/;75;8
Panqueques de Acelga;Gourmet;https://www.gourmet.cl/recetas/panqueques-de-acelga/;55;6 
Tortilla de Zanahoria;Gourmet;https://www.gourmet.cl/recetas/tortilla-de-zanahoria/;30;4 
Hamburguesas de garbanzos;Gourmet;https://www.gourmet.cl/recetas/hamburguesas-de-garbanzos/;15;8
Hamburguesas de Quinoa;Gourmet;https://www.gourmet.cl/recetas/hamburguesas-de-quinoa/;15;8
Escalopa Rellenas;Gourmet;https://www.gourmet.cl/recetas/escalopa-rellenas/;20;4 
Budín de Zapallito Italiano;Gourmet;https://www.gourmet.cl/recetas/budin-zapallito-italiano/;60;6 
Pollo Entero al Limón;Gourmet;https://www.gourmet.cl/recetas/pollo-al-limon-2/;95;5 
Pizza Cuatro Quesos;Gourmet;https://www.gourmet.cl/recetas/pizza-cuatro-quesos/;70;8 
Escalopas de carne;Gourmet;https://www.gourmet.cl/recetas/escalopas-de-carne/;40;14
Chupe de Camarones;Gourmet;https://www.gourmet.cl/recetas/chupe-de-camarones/;40;4 
Pastel de Carne;Gourmet;https://www.gourmet.cl/recetas/pastel-de-carne/;60;5 
Budín de Atún;Gourmet;https://www.gourmet.cl/recetas/budin-de-atun/;70;5 
Filete al Cilantro;Gourmet;https://www.gourmet.cl/recetas/filete-al-cilantro/;45;6 
Pollo Relleno con Champiñones;Gourmet;https://www.gourmet.cl/recetas/pollo-relleno-con-champinones/;50;3 
Risotto de Quínoa;Gourmet;https://www.gourmet.cl/recetas/risotto-de-quinoa/;30;5 
Pavo al Horno;Gourmet;https://www.gourmet.cl/recetas/pavo-al-horno/;60;6 
Pavo Relleno con Papas al Tomillo;Gourmet;https://www.gourmet.cl/recetas/pavo-relleno/;80;10 
Papas Duquesas;Gourmet;https://www.gourmet.cl/recetas/papas-duquesas/;20;6 
Arrollado de Huaso;Gourmet;https://www.gourmet.cl/recetas/arrollado-de-huaso/;135;6 
Porotos con mazamorra;Gourmet;https://www.gourmet.cl/recetas/porotos-con-mazamorra/;60;6 
Tortilla de porotos verdes;Gourmet;https://www.gourmet.cl/recetas/tortilla-porotos-verde/;30;6 
Pastel de papas;Gourmet;https://www.gourmet.cl/recetas/pastel-de-papas/;60;6 
Hamburguesas Caseras de Carne Molida;Gourmet;https://www.gourmet.cl/recetas/hamburguesas-caseras/;50;6 
Prietas con papas;Gourmet;https://www.gourmet.cl/recetas/prietas-con-papas/;45;4 
Canelones de Ricota y Espinaca;Gourmet;https://www.gourmet.cl/recetas/canelones-de-ricota-y-espinaca/;75;6 
Lentejas al Curry;Gourmet;https://www.gourmet.cl/recetas/sopa-lentejas-al-curry/;20;4 
Garbanzos con Quínoa y Zanahorias Asadas;Gourmet;https://www.gourmet.cl/recetas/quinoa-garbanzos-zanahorias-asadas/;35;6 
Salmón al Horno;Gourmet;https://www.gourmet.cl/recetas/salmon-las-hierbas-limon/;35;4 
Merluza al Horno;Gourmet;https://www.gourmet.cl/recetas/merluza-horneada-salsa-cremosa-pure-rustico-camote/;115;4 
Chupe de Mariscos;Gourmet;https://www.gourmet.cl/recetas/chupe-de-mariscos/;40;4 
